id,Timestamp,Source,Speed,Course,Latitude,Longitude
9876542,2026-04-17 21:30:00,Roaming,5.0,176,28.587238,-88.603751
9876542,2026-04-17 21:00:00,Roaming,5.4,174,28.628825,-88.607935
9876542,2026-04-17 20:30:00,Roaming,5.0,177,28.670315,-88.612003
9876542,2026-04-17 20:00:00,Roaming,5.0,175,28.711713,-88.615916
9876542,2026-04-17 19:30:00,Roaming,5.1,173,28.753494,-88.620754
9876542,2026-04-17 19:00:00,Roaming,5.2,172,28.794689,-88.624413
9876542,2026-04-17 18:30:00,Roaming,4.7,175,28.836542,-88.628373
9876542,2026-04-17 18:00:00,Roaming,5.0,176,28.878133,-88.633215
9876542,2026-04-17 17:30:00,Roaming,4.6,174,28.919377,-88.637115
9876542,2026-04-17 17:00:00,Roaming,4.9,175,28.961594,-88.641188
9876542,2026-04-17 16:30:00,Roaming,5.1,174,29.002432,-88.64529
9876542,2026-04-17 16:00:00,Roaming,5.1,175,29.043812,-88.64957
9876542,2026-04-17 15:30:00,Roaming,5.3,172,29.085561,-88.653711
9876542,2026-04-17 15:00:00,Roaming,5.0,176,29.127092,-88.658078
9876542,2026-04-17 14:30:00,Roaming,5.4,175,29.168942,-88.66202
9876542,2026-04-17 14:00:00,Roaming,5.1,175,29.21026,-88.666269
9876542,2026-04-17 13:30:00,Roaming,5.0,176,29.251944,-88.67048
9876542,2026-04-17 13:00:00,Roaming,5.2,176,29.293214,-88.674534
9876542,2026-04-17 12:30:00,Roaming,5.2,173,29.335315,-88.679126
9876542,2026-04-17 12:00:00,Roaming,5.0,175,29.376171,-88.68308
9876542,2026-04-17 11:30:00,Roaming,5.3,174,29.417849,-88.686986
9876542,2026-04-17 11:00:00,Roaming,5.2,175,29.459457,-88.691503
9876542,2026-04-17 10:30:00,Roaming,5.0,176,29.501257,-88.695414
9876542,2026-04-17 10:00:00,Roaming,5.1,175,29.542401,-88.699351
9876542,2026-04-17 09:30:00,Roaming,5.0,176,29.584492,-88.704383
9876542,2026-04-17 09:00:00,Roaming,4.6,174,29.626073,-88.707975
9876542,2026-04-17 08:30:00,Roaming,4.7,177,29.667517,-88.712148
9876542,2026-04-17 08:00:00,Roaming,5.3,176,29.709002,-88.716353
9876542,2026-04-17 07:30:00,Roaming,5.2,175,29.750213,-88.720394
9876542,2026-04-17 07:00:00,Roaming,5.1,174,29.791571,-88.725445
9876542,2026-04-17 06:30:00,Roaming,5.3,176,29.833235,-88.728932
9876542,2026-04-17 06:00:00,Roaming,5.2,173,29.87491,-88.733302
9876542,2026-04-17 05:30:00,Roaming,4.9,173,29.916859,-88.737499
9876542,2026-04-17 05:00:00,Roaming,5.0,173,29.958618,-88.741432
9876542,2026-04-17 04:30:00,Roaming,5.1,176,29.999445,-88.745493
9876542,2026-04-17 04:00:00,Roaming,5.1,175,30.041338,-88.750081
9876542,2026-04-17 03:30:00,Roaming,4.6,175,30.082929,-88.753727
9876542,2026-04-17 03:00:00,Roaming,5.1,173,30.124268,-88.75817
9876542,2026-04-17 02:30:00,Roaming,4.9,176,30.165911,-88.762647
9876542,2026-04-17 02:00:00,Roaming,5.1,175,30.20749,-88.766611
9876542,2026-04-17 01:30:00,Roaming,4.9,174,30.249268,-88.770462
9876542,2026-04-17 01:00:00,Roaming,4.9,177,30.290759,-88.77484
9876542,2026-04-17 00:30:00,Roaming,5.1,174,30.332311,-88.779127
9876542,2026-04-17 00:00:00,Preparing,5.1,174,30.332311,-88.779127
