id,Timestamp,Source,Speed,Course,Latitude,Longitude
9321485,2024-12-15 10:00:00,Roaming,1.5,307,45.031700,35.381100
9321485,2024-12-15 09:30:00,Roaming,1.5,307,45.024118,35.395286
9321485,2024-12-15 09:00:00,Roaming,4.0,287,45.014476,35.440822
9321485,2024-12-15 08:30:00,Roaming,6.1,283,45.003481,35.510676
9321485,2024-12-15 08:00:00,Roaming,7.9,281,44.991491,35.601822
9321485,2024-12-15 07:30:00,Roaming,9.6,279,44.978732,35.713364
9321485,2024-12-15 07:00:00,Roaming,10.7,279,44.965860,35.837855
9321485,2024-12-15 06:30:00,Roaming,11.8,278,44.952962,35.975495
9321485,2024-12-15 06:00:00,Roaming,12.4,276,44.940501,36.121138
9321485,2024-12-15 05:30:00,Roaming,12.9,276,44.928679,36.272586
9321485,2024-12-15 05:00:00,Roaming,13.0,276,44.917876,36.425201
9321485,2024-12-15 04:30:00,Roaming,12.9,276,44.908283,36.576107
9321485,2024-12-15 04:00:00,Roaming,12.5,275,44.900096,36.721916
9321485,2024-12-15 03:30:00,Roaming,11.7,274,44.893497,36.859395
9321485,2024-12-15 03:00:00,Roaming,10.7,273,44.888657,36.984966
9321485,2024-12-15 02:30:00,Roaming,9.4,272,44.885695,37.095293
9321485,2024-12-15 02:00:00,Roaming,7.8,271,44.884735,37.186940
9321485,2024-12-15 01:30:00,Roaming,5.9,269,44.885846,37.256677
9321485,2024-12-15 01:00:00,Roaming,3.8,264,44.889117,37.300959
9321485,2024-12-15 00:30:00,Roaming,1.5,244,44.894600,37.316500
9321485,2024-12-15 00:00:00,Preparing,1.5,244,44.894600,37.316500
