id,Timestamp,Source,Speed,Course,Latitude,Longitude
4,2024-12-15 10:00:00,Roaming,1.4,330,45.031700,35.381100
4,2024-12-15 09:30:00,Roaming,1.4,330,45.021594,35.389518
4,2024-12-15 09:00:00,Roaming,4.0,330,44.992734,35.413558
4,2024-12-15 08:30:00,Roaming,6.3,327,44.948565,35.454006
4,2024-12-15 08:00:00,Roaming,8.3,319,44.897570,35.517346
4,2024-12-15 07:30:00,Roaming,10.0,297,44.860962,35.619240
4,2024-12-15 07:00:00,Roaming,11.4,266,44.867630,35.752600
4,2024-12-15 06:30:00,Roaming,12.4,262,44.881378,35.897530
4,2024-12-15 06:00:00,Roaming,13.2,261,44.899270,36.050890
4,2024-12-15 05:30:00,Roaming,13.7,263,44.912378,36.210670
4,2024-12-15 05:00:00,Roaming,13.8,265,44.923188,36.372820
4,2024-12-15 04:30:00,Roaming,13.7,267,44.929450,36.533500
4,2024-12-15 04:00:00,Roaming,13.2,267,44.934631,36.688930
4,2024-12-15 03:30:00,Roaming,12.4,270,44.935000,36.835570
4,2024-12-15 03:00:00,Roaming,11.4,270,44.935000,36.969580
4,2024-12-15 02:30:00,Roaming,10.0,274,44.928495,37.086740
4,2024-12-15 02:00:00,Roaming,8.3,276,44.921205,37.183940
4,2024-12-15 01:30:00,Roaming,6.3,285,44.907884,37.255570
4,2024-12-15 01:00:00,Roaming,4.0,287,44.898047,37.300691
4,2024-12-15 00:30:00,Roaming,1.4,287,44.894600,37.316500
4,2024-12-15 00:00:00,Preparing,1.4,287,44.894600,37.316500
